id	question	category
634	who is coronado ?	who
635	what was the name of the movie that starred sharon stone and arnold schwarzenegger ?	what
636	what is artificial intelligence ?	what
637	what do flatfish eat ?	what
638	who was the first holy roman emperor ?	who
639	what can i use to remove the stubborn gummed labels from some diskettes ?	what
640	what day of the week sees the most fatal car accidents ?	what
641	what is the origin of the word , magic ?	what
642	what sport do you shag flies in ?	what
643	what is white chocolate ?	what
644	where is trinidad ?	unknown
645	name the organization that is presided by a security council .	unknown
646	who graced the airwaves with such pearls as `` do ya lo-o-ove me ? get naked , baby ! '' ?	who
647	what kind of wine is spumante ?	what
648	who portrayed portly criminologist carl hyatt on checkmate ?	what
649	how do you say i love you in spanish ?	unknown
650	what does the name gina mean ?	what
651	what is the most advanced handheld calculator in the world ?	what
652	how fast is light ?	unknown
653	what is the belt of low pressure around the equator called ?	what
654	what are shooting stars ?	what
655	whom did the chicago bulls beat in the 1993 championship ?	unknown
656	when was the first american encyclopedia published ?	when
657	what 's the tallest building in new york city ?	what
658	how is easter sunday 's date determined ?	unknown
659	what is the motto for the state of maryland ?	what
660	who is desmond tutu ?	who
661	where can i find information on the narragansett indians and other tribes in rhode island ?	unknown
662	name a tiger that is extinct .	unknown
663	how many quarters equal a pound ?	unknown
664	what kind of books does fodor 's publish ?	what
665	what are the first names of rowan and martin , the stars of tv 's laugh-in ?	what
666	what chapter of the bible has the most verses ?	what
667	who is the worst us president ever ?	who
668	what asian leader was known as the little brown saint ?	what
669	what is the abbreviated expression for the national bureau of investigation ?	what
670	how fast does the fastest car go ?	unknown
671	what is the highest mountain in the world ?	what
672	what arch can you see from the place de la concorde ?	what
673	who sings the song `` drink to me with thine eyes '' by ben johnson ?	who
674	how long should a person wash their hands before they are clean ?	unknown
675	which way do you turn your bic to increase the flame - clockwise or counterclockwise ?	unknown
676	which is the wealthiest country in the world ?	unknown
677	how can i find a phone number of someone if i only know their email address ?	unknown
678	how can you contact play producers and promoters on-line ?	unknown
679	who is the monarch of the united kingdom ?	who
680	what is a fear of passing high objects ?	what
681	what do players try to do when the music stops in a game of musical chairs ?	what
682	what are the top ten most common girl names in the us ?	what
683	why is black the color of mourning in the west ?	unknown
684	what is the rarest coin ?	what
685	what judith rossner novel was made into a film starring diane keaton ?	what
686	which country is australia 's largest export market ?	unknown
687	where is the kentucky horse park located ?	unknown
688	what is a fear of parasites ?	what
689	in what olympic games did nadia comaneci become popular ?	unknown
690	who does data collection in tourism ?	who
691	what was the name of the daughter of the virginia chief powhatan that married john rolfe ?	what
692	what is the leading pecan and peanut growing state ?	what
693	what does a nihilist believe in ?	unknown
694	what did richard feynman say upon hearing he would receive the nobel prize in physics ?	unknown
695	in what sport are these following numbers relevant : 118 , 126 , 134 , 142 , 15 , 158 , 167 , 177 , and 19 ?	unknown
696	who were the four famous founders of united artists ?	who
697	what 2 statues did france give to other countries ?	what
698	what are amphibians ?	what
699	how many sperm cells are in an average ejaculation ?	unknown
700	name the disposable razor that `` costs about 19 cents . ''	unknown
701	how far do you have to run if you hit a home run ?	unknown
702	who was the only u.s. president to wear a nazi uniform ?	who
703	woodrow wilson served as president of what university ?	what
704	where are the tropical rain forest distributions ?	unknown
705	what 's the nickname of oddsmaker jimmy snyder ?	what
706	what is the fear of being loved ?	what
707	what was the number of people that randy steven craft was convicted of killing ?	what
708	what was queen victoria 's title regarding india ?	what
709	how is a hydrogen bomb different from a nuclear bomb ?	unknown
710	how far can a man travel in outer space ?	unknown
711	where was lincoln assassinated ?	unknown
712	what type of food makes you fat ?	what
713	what is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?	what
714	what was the u.s. highway death toll in 1969 ?	what
715	what kind of animals are dorsets , lincolns , oxfords and southdowns ?	what
716	what are the shortest and the longest songs ever produced ?	what
717	what letter is to the right of k on a typewriter keyboard ?	what
718	what is the origin and the meaning of the name , `` hajo ?	what
719	what is the plural of gulf ?	what
720	whose autobiography is titled yes i can ?	unknown
721	what year did the united states pass the copyright law ?	what
722	what percentage of americans own their homes ?	what
723	what 's the first day of the week ?	what
724	what city was president william mckinley shot in ?	what
725	what city has the world 's longest subway system ?	what
726	who claimed he killed 4 , 280 buffalo as food for the crew building the kansas pacific railway ?	who
727	what is bombay duck ?	what
728	how many degrees cooler is the inside of a cucumber than the air outside ?	unknown
729	what double talking `` professor '' holds a doctorate in nothing ?	what
730	what are the five most expensive cities in the world ?	what
731	what 19th-century writer had a country estate on the hudson dubbed sunnyside ?	what
732	how many layers of yellow paint is a faber mongol pencil lucky enough to be sprayed with ?	unknown
733	what is a virtual ip address ?	what
734	what was the name of the cook on rawhide ?	what
735	what county is chicago in ?	what
736	what is the wingspan of a condor ?	what
737	what facial feature typically contains about 55 hairs ?	what
738	who was named admiral of the ocean seas and viceroy and governor general of all the islands he might discover , and also granted 10-? of all profits of his voyage .	who
739	how can i transport files from one computer to another ?	unknown
740	what 's the literary term for a play on words ?	what
741	what color were their horses ?	what
742	what does an average daycare provider get paid in new england ?	what
743	what author landed a 468-pound marlin without harness in the early 193 's ?	what
744	how many americans fought for the british in the american revolution ?	unknown
745	what kind of education do i need to become a flight attendant ?	what
746	what are the two languages of malta ?	what
747	how many oceans are there and name them ?	unknown
748	what happened during the blackhawk indian war of 1832 ?	what
749	how many pairs of legs does a lobster have ?	unknown
750	what does the latin ante mortem mean ?	what
751	what does the name shawn mean ?	what
752	where is the danube ?	unknown
753	what lawyer won the largest divorce settlement , $85 million , in u.s. history for sheika dena al-farri ?	unknown
754	what do you call a group of geese ?	what
755	who delivered his last newscast on march 6 , 1981 ?	who
756	how many times has `` louie , louie '' been recorded ?	unknown
757	how is answers.com different from knowpost.com ?	unknown
758	what is the longest place name in the u.s. ?	what
759	what percent liked thatcher after she had been in power for a decade ?	what
760	where does buzz aldrin want to build a permanent , manned space station ?	unknown
761	what was mel gibson 's first movie ?	what
762	why was the l.a. office of shea and gould closed ?	unknown
763	how do i start a bank ?	unknown
764	how do ouija boards work ?	unknown
765	what horse did zorro ride ?	what
766	how do you get a broken cork out of a bottle ?	unknown
767	where can i find correct tabs for third eye blind songs ?	unknown
768	how do you determine heating requirements for your home ?	unknown
769	what former major-league left-handed baseball pitcher was known as `` space man '' ?	what
770	which hair care product told us `` hate that gray , wash it away '' ?	unknown
771	why did the chicken cross the road ?	unknown
772	what was michelangelo 's last name ?	what
773	who is barbara jordan ?	who
774	who was the democratic nominee in the american presidential election ?	who
775	what was connecticut 's first constitution called ?	what
776	what historical event happened in dogtown in 1899 ?	what
777	what is being done about the millennium bug ?	what
778	what was the claim to fame of king camp gillette ?	what
779	what is the most common kind of skin cancer in the u.s. ?	what
780	what is olestra ?	what
781	what asian country has a bill of rights for cows ?	what
782	how many fingers are used to draw a bow ?	unknown
783	what are two plants that clothes are made from ?	what
784	when was hurricane hugo ?	what
785	what is the most heavily caffeinated soft drink ?	what
786	what president-to-be was the first member of congress to enlist following the attack on pearl harbor ?	what
787	what was the price of varian associates ' vacuum products division ?	what
788	when was `` the great depression '' ?	what
789	what language is mostly spoken in brazil ?	what
790	what college produced the most winning super bowl quarterbacks ?	what
791	how do you solve `` rubik 's cube '' ?	unknown
792	what is prepared mustard ?	what
793	what classical spanish writer warned : `` all that glitters is not gold '' ?	what
794	what does `` antidisestablishmentarianism '' mean ?	what
795	what actor married john f. kennedy 's sister ?	what
796	what does a topophobic actor suffer from ?	what
797	who fired maria ybarra from her position in san diego council ?	who
798	the italian artist , maurizio pellegrin , is how old ?	unknown
799	what type of hunting are retrievers used for ?	what
800	what is colin powell best known for ?	what
801	who was the first black golfer to tee off in the masters ?	who
802	what city is the setting for puccini 's opera la boheme ?	what
803	what u.s. president showed a fondness for munching on bee pollen bars ?	what
804	what is measured in curies ?	what
805	whose cover is that of an employee of universal import and export ?	unknown
806	what former president 's daughter has written a book titled murder in the white house ?	what
807	what fictional character is known as the `` melancholy dane '' ?	what
808	italy is the largest producer of what ?	what
809	what longtime game show host dropped dead while jogging in central park in 1984 ?	what
810	what is the meaning of w.b. yeat 's poem , `` the three hermits ?	what
811	who were the `` filthiest people alive ?	who
812	what infectious disease is the world 's deadliest ?	what
813	what is spumante ?	what
814	in what year did ireland elect its first woman president ?	what
815	what is an isthmus ?	what
816	what was the name of the orca that died of a fungal infection ?	what
817	where is mozambique located ?	unknown
818	what is mississippi 's state animal ?	what
819	what 's the origin of the word ` news ' ?	what
820	what did dan aykroyd and john belushi quit saturday night live to become ?	what
821	how many months does a normal human pregnancy last ?	unknown
822	how do fuel injectors work ?	unknown
823	how can your school march in the macy 's thanksgiving parade ?	unknown
824	what is the real name of disc jockey `` wolfman jack '' ?	what
825	what italian liner was hijacked in 1985 ?	what
826	what city houses the u.s. headquarters of procter and gamble ?	what
827	what soap was touted as being `` for people who like people '' ?	what
828	how much was the minimum wage in 1991 ?	unknown
829	what does nafta stand for ?	what
830	who invented silly putty ?	who
831	what new middle school was built in philadelphia , pennsylvania last year ?	what
832	who patented the first phonograph ?	who
833	what are some tips for building a fire in a fireplace ?	what
834	what do manatees eat ?	what
835	how do you say 2 in latin ?	unknown
836	what were popular songs and types of songs in the 1920s ?	what
837	how many vietnamese were there in the soviet union ?	unknown
838	what is november 's birthstone ?	what
839	what is a certified nurse midwife ?	what
840	on average , how many miles are there to the moon ?	unknown
841	who created private detective philip marlowe ?	who
842	what boris pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?	what
843	what is the origin of the expression `` tout de suite '' ?	what
844	what is the longest english word ?	what
845	what is the purpose of a car bra ?	what
846	what is d.b. cooper known for ?	what
847	who is colin powell ?	who
848	what species is a colt ?	what
849	what is the full name of the plo ?	what
850	what is the smallest country in africa ?	what
851	who coined the term nn cyberspace `` in his novel nn neuromancer '' ?	who
852	what age followed the bronze age ?	what
853	what is her profession ?	what
854	what is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?	what
855	what does the word laser mean ?	what
856	what does the name `` anthony '' mean ?	what
857	who was lauren bacall 's first husband ?	who
858	what is a rhomboideus minor ?	what
859	how many hands does bjorn borg use when hitting his forehand ?	unknown
860	how many people died on d-day ?	unknown
861	what u.s. congressman said : `` keep the faith , baby '' .	what
862	who created the character of scrooge ?	who
863	what is the student population at the university of massachusetts in amherst ?	what
864	where is windsor castle ?	unknown
865	when did the dow first reach ?	when
866	why were people recruited for the vietnam war ?	unknown
867	what party was winston churchill a member of ?	what
868	what american league baseball team 's worst finish between 1926 and 1964 was fourth ?	what
869	where can i find the names of all the 15 pokemon ?	unknown
870	what state does martha stewart live in ?	what
871	which killer whale died at sea world of a fungal infection ?	unknown
872	what are the benelux countries ?	what
873	where 's the petrified forest ?	unknown
874	what is a language spoken by the sioux ?	what
875	where is tornado alley ?	unknown
876	who was the author of `` john brown 's body '' ?	who
877	what american poet wrote : `` good fences make good neighbors '' ?	what
878	what state in the u.s. has the most blacks ?	what
879	why are electric cars less efficient in the northeast than in california ?	unknown
880	what was the occupation of mandy rice-davies ?	what
881	what is the city in which maurizio pellegrin lives called ?	what
882	who painted the sistine chapel ?	who
883	name the various costumed personas of dr. henry pym .	unknown
884	what breed of dog was the `` little rascals '' dog ?	what
885	what are the living conditions in cuba ?	what
886	what color are school buses ?	what
887	what is the oldest website on the internet ?	what
888	what events happened january 26 , 1978 ?	what
889	what explorers followed columbus to the americas ?	what
890	who is actress goldie hawn 's current actor boyfriend ?	who
891	who banned peter rose from baseball for betting on games ?	who
892	what are the seven virtues ?	what
893	what other name were the `` little rascals '' known as ?	what
894	when was the san francisco fire ?	when
895	what is a fear of food ?	what
896	how many casinos are in atlantic city , nj ?	unknown
897	what year did the vietnam war end ?	what
898	what are the names of richard nixon 's two daughters ?	what
899	what 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?	what
900	what is the chromosome number of an elephant ?	what
901	what organization was founded by the rev. jerry falwell ?	what
902	what 's the longest river in the world ?	what
903	which soft drink does madonna advertise for ?	unknown
904	what company is being bought by yahoo and how much is the deal worth ?	what
905	when was berlin 's brandenburg gate erected ?	when
906	how many double-word-score spaces are there on a scrabble crossword game board ?	unknown
907	what year did germany sign its nonaggression pact with the soviet union ?	what
908	what mountain range is traversed by the highest railroad in the world ?	what
909	why were the american soldiers in wwi called `` doughboys ''	unknown
910	who was nicknamed the little corporal ?	who
911	how many cds has garth brooks sold ?	unknown
912	name the vessel used by the atari force in the dc comics .	unknown
913	where are the leading medical groups specializing in lung diseases ?	unknown
914	how can i find online spelling , and punctuation drills for my 6th grader ?	unknown
915	what 's the sacred river of india ?	what
916	what is stefan edberg 's native country ?	what
917	what is the only gland in humans that can regenerate itself ?	what
918	how many gutenberg bibles are there ?	unknown
919	name the largest country in south america .	unknown
920	what astronomical phenomenon takes place in jan. 1999 ?	what
921	what information can you get me on fairground park in st. louis	what
922	what was american folk hero john chapman 's nickname ?	what
923	what is the difference between a median and a mean ?	what
924	what was the top box office movie in april 1998 ?	what
925	what makes thunder ?	what
926	what author did photographer yousuf karsh call `` the shiest man i ever met '' ?	what
927	which is the largest clock , diameter wise , in europe ?	unknown
928	what plant is rum made from ?	what
929	what country are godiva chocolates from ?	what
930	name the poet of the poem which begins : i do not know much about gods ; but i think that the river is a strong brown god-sullen , and untamed ?	unknown
931	which condiment was once sold as a patent medicine ?	unknown
932	what u.s. state records the least rainfall ?	what
933	why did the world enter a global depression in 1929 ?	unknown
934	what was archy , and mehitabel ?	what
935	what texas city got its name from the spanish for `` yellow '' ?	what
936	what are the chemicals used in glowsticks ?	what
937	what country did the nile river originate in ?	what
938	what color are tennis balls ?	what
939	what barroom judge called himself the law west of the pecos ?	what
940	what excuse did the nato people give for hitting the chinese embassy ?	what
941	who was president of costa rica in 1994 ?	who
942	what sports event is meyer wolfsheim supposed to have fixed in the great gatsby ?	what
943	what country has the best defensive position in the board game diplomacy ?	what
944	what two countries share the khyber pass ?	what
945	who was chairman of the senate select committee that tried to get to the bottom of watergate ?	who
946	what is the origin of the surname of braun ?	what
947	what card game has variations called canfield , klondike and spider ?	what
948	what is australia day ?	what
949	what mammal of north america is the world 's longest-lived for its size ?	what
950	what was the chivington massacre ?	what
951	what actor starred in 1980 's blue lagoon , 1982 's the pirate movie and 1983 's a night in heaven ?	what
952	how many home runs did lou gehrig have during his career ?	unknown
953	in what city is the headquarters of sinn fein ?	what
954	where can i find information on george bush ?	unknown
955	who is the voice of miss piggy ?	who
956	what is the dialogue circle in cartoons called ?	what
957	what does the word camaro mean , from the gm car the camaro ?	what
958	who replaced bert parks as the host of the miss america pageant ?	who
959	how many boys play the game in winslow homer 's 1872 painting snap the whip ?	unknown
960	what is the aim-54c phoenix ?	what
961	when are sheep shorn ?	when
962	what sport is chris jogis a top player of ?	what
963	what 's the second-largest island in the world ?	what
964	what is the definition of low island ?	what
965	what century does captain video live in ?	what
966	what types of water pollution are there ?	what
967	how many astronauts manned each project mercury flight ?	unknown
968	what soft drink would provide me with the biggest intake of caffeine ?	what
969	what 's the name of a golf course in myrtle beach ?	what
970	what are some of the significant historical events of the 1990s ?	what
971	name the only extant trilogy of classical greek plays .	unknown
972	where is logan airport ?	unknown
973	what is the difference between neoclassical art and romanticism art ?	what
974	who was the first person inducted into the u.s. swimming hall of fame ?	who
975	what golfer has been called ohio fats and blobbo ?	what
976	who murdered leno and rosemary labianca on august 1	who
977	what is the average cost for four years of medical school ?	what
978	what does god create in the first sentence of the bible ?	what
979	which of the following men was not married to rita hayworth ?	unknown
980	what is the current ticket fare from from cairo to barbados ?	what
981	what does nn o `` mean when used as a prefix in irish surnames ?	what
982	how do you find oxidation numbers ?	unknown
983	what is the state nickname of mississippi ?	what
984	what is black hills , south dakota most famous for ?	what
985	what 1966 boob tube bomb took astronauts back to prehistoric times ?	what
986	how many students attend the university of massachusetts ?	unknown
987	who said , `` i shall return . '' during world war two ?	who
988	what holidays are celebrated in ireland ?	what
989	who portrayed etta place , companion to butch cassidey and the sundance kid ?	who
990	what are the greek numerals ?	what
991	what 's the name of the temple that is located near the capital city of laos ?	what
992	what is a fear of sleep ?	what
993	what auto race was wilbur reed the first to win three times ?	what
994	what are the most common breeding birds in the u.s. ?	what
995	what was organized as a confederate veterans ' social club in pulaski , in tennessee , in 1866 ?	what
996	how do you look up criminal records on the internet ?	unknown
997	where is the actress , marion davies , buried ?	unknown
998	what is an example of an actual case of using the fourteenth amendment ?	what
999	who was the charlie perfume woman ?	who
1000	who portrayed `` rosanne rosanna-dana '' on the television show `` saturday night live '' ?	who
1001	is there a cab available for airport?	affirmation
1002	is it raining outside ?	affirmation
1003	is there any pizza left ?	affirmation
1004	is there a truck parked infront of the house ?	affirmation
1005	what time does the flight leave ?	when
1006	what time does the train arrive ?	when
1007	what time do we go to the mall ?	when
1008	what time are we leaving ?	when
1009	what time does the president give his speech ?	when
1010	what time do you go to the school ?	when
1011	what time are you planning to leave ?	when
1012	what time are you thinking of going to the dentist ?	when
1013	what time is it right now ?	when
1014	who was gerald ford 's vice president ?	who
1015	who invented batteries ?	who
1016	who did sonny liston succeed as world heavyweight boxing champion ?	who
1017	whose video is titled shape up with arnold ?	unknown
1018	who 's the twin brother of the greek goddess artemis ?	who
1019	who was america 's first public enemy no. 1 ?	who
1020	who is dear abby ?	who
1021	who lives at 24 sussex drive , ottawa ?	who
1022	who was monet ?	who
1023	who was the famous door-to-door brush salesman ?	who
1024	who is always trying to get the rent from andy capp ?	who
1025	who did jackie kennedy commission to write the death of a president ?	who
1026	who sought to create the great society ?	who
1027	who said : `` soldiers win the battles and generals get the credit '' ?	who
1028	who is the current un secretary general ?	who
1029	who provides telephone service in orange county , california ?	who
1030	who was lacan ?	who
1031	who was the secretary of war in the civil war during the battle of gettysburg ?	who
1032	who did bobby fischer beat to win the world chess championship ?	who
1033	who lives at 39 stone canyon way ?	who
1034	who played humpty dumpty in the 1933 film alice in wonderland ?	who
1035	who is karenna gore , al gore 's oldest daughter , married to ?	who
1036	who played the title role in i was a teenage werewolf ?	who
1037	who was the inventor of the stove ?	who
1038	who was the king who was forced to agree to the magna carta ?	who
1039	who was made the first honorary citizen of the u.s. ?	who
1040	who is known as `` the world 's oldest teenager '' ?	who
1041	who was with patricia hearst the night she was kidnaped ?	who
1042	who advised listeners to `` see the u.s.a. in your chevrolet '' ?	who
1043	who sang about desmond and molly jones ?	who
1044	who developed the first polio vaccine ?	who
1045	who made the first gas engine ?	who
1046	who sells viagra ?	who
1047	who was darius ?	who
1048	who did dita beard work for ?	who
1049	who served as inspiration for the schoolteacher portrayed by robin williams in `` dead poets society '' ?	who
1050	who is the best known villain of the 165 gunpowder plot ?	who
1051	who killed more people , hitler or stalin ?	who
1052	who is nicolo paganini ?	who
1053	who portrayed dracula in hammer studios ' films ?	who
1054	who was jean nicolet ?	who
1055	who was the original humpty dumpty ?	who
1056	whose cupboard was bare ?	unknown
1057	who invented the vacuum cleaner ?	who
1058	who does shakespeare 's antonio borrow 3 , 0 ducats from ?	who
1059	who is the voyager project manager ?	who
1060	who replies `` i know '' to princess leia 's confession `` i love you '' in the empire strikes back ?	who
1061	who won the 1967 academy award for best actor ?	who
1062	who was the first taiwanese president ?	who
1063	who is luke skywalker 's father ?	who
1064	who was jane goodall ?	who
1065	who created the comic strip , `` garfield '' ?	who
1066	who is the current prime minister and president of russia ?	who
1067	who established a viking colony in greenland about 985 ?	who
1068	who shot and killed himself while painting wheatfield with crows ?	who
1069	who was the architect of central park ?	who
1070	who were the yankee 's frequent enemies ?	who
1071	who wrote sons and lovers ?	who
1072	who was the star of leave it to beaver ?	who
1073	who did richard nixon tender his resignation to ?	who
1074	who was thucydides ?	who
1075	who took over as conductor of the boston pops after arthur fiedler 's long reign ?	who
1076	who is the fastest guitarist ?	who
1077	who betrayed norway to the nazis ?	who
1078	who took the toys donated for the doodyville orphans ' fund and kept them for himself ?	who
1079	who were the picts ?	who
1080	who is stationed at camp swampy in the comic strips ?	who
1081	who wrote the look of love after viewing ursula andress ?	who
1082	who claims to have the greatest show on earth ?	who
1083	who invented the paper clip ?	who
1084	whom did lauren bacall marry after her husband humphrey bogart died ?	unknown
1085	who created the fantastic four , hulk , and thor ?	who
1086	who is the composer of `` canon in d major '' ?	who
1087	who was the author of the novel `` far from the madding crowd '' ?	who
1088	who was camp david named for ?	who
1089	who portrayed `` the man without a face '' in the movie of the same name ?	who
1090	who won the first world series ?	who
1091	who is samuel pickering ?	who
1092	who was credited with saying : `` i never met a man i did n't like '' ?	who
1093	who created big ben ?	who
1094	who played the title role in my favorite martian ?	who
1095	who invented the game scrabble ?	who
1096	who is considered the first lady of the american stage ?	who
1097	who penned : `` neither a borrower nor a lender be '' ?	who
1098	who headed hitler 's infamous gestapo ?	who
1099	who made the musical plea be true to your school ?	who
1100	who made stonehenge ?	who
1101	who 's the founder and editor of the national review ?	who
1102	who was the first governor of west virginia ?	who
1103	who was the first woman to fly solo across the atlantic ?	who
1104	who started the dominos pizza chain ?	who
1105	who is the famous movie star who also acted as sewer commissioner of provo canyon , utah ?	who
1106	who portrayed vincent van gogh in lust for life ?	who
1107	who was known as the time master in comic books ?	who
1108	who is the father of the computer ?	who
1109	who said : `` old soldiers never die ; they just fade away '' ?	who
1110	who 's the only man to have won the olympic decathlon twice ?	who
1111	who was the second man to walk on the moon ?	who
1112	who is the pope ?	who
1113	who is imam hussain ben ali whom shia people believe in ?	who
1114	who was william henry harrison ?	who
1115	who was the first black performer to have his own network tv show ?	who
1116	who directed the wild bunch ?	who
1117	who runs andy capp 's favorite pub ?	who
1118	who invented the game bowling ?	who
1119	who is the creator of `` the muppets '' ?	who
1120	who asked you to do the loco-motion with her in 1962 ?	who
1121	who made the first surfboard ?	who
1122	who is the greek god of the sea ?	who
1123	who was the first woman governor of wyoming ?	who
1124	who was charles lindbergh 's wife ?	who
1125	who sings angel eyes from the 80 's ?	who
1126	who wrote ` hamlet ' ?	who
1127	who was the russian ambassador to hungary during the 1956 uprising ?	who
1128	who holds the nfl record for most touchdowns in a season ?	who
1129	who is shirley maclaine ?	who
1130	who wrote ` the pines of rome ' ?	who
1131	who played for the chicago bears , houston oilers and oakland raiders in a 26-year pro football career ?	who
1132	who leads the star ship enterprise in star trek ?	who
1133	who won world war ii ?	who
1134	who was garrett morgan married to ?	who
1135	who is ishmael in moby dick ?	who
1136	who was the conservationist who served as spokesperson for post grape nuts ?	who
1137	who was whitcomb judson ?	who
1138	who shoplifts ?	who
1139	whose image is alleged to be on the shroud of turin ?	unknown
1140	who said : `` the victor will never be asked if he told the truth '' ?	who
1141	who is langston hughes ?	who
1142	who wrote the book , `` the grinch who stole christmas '' ?	who
1143	who seized power from milton obote in 1971 ?	who
1144	who is the prophet of medina ?	who
1145	whose funeral train traveled from washington d.c. to springfield , illinois ?	unknown
1146	who is the queen of holland ?	who
1147	who says , `` if you don 't look good , we don 't look good '' ?	who
1148	who was secretary of state during the nixon administration ?	who
1149	who is johnny carson ?	who
1150	who painted `` soft self-portrait with grilled bacon '' ?	who
1151	who killed caesar ?	who
1152	who is count cinzano ?	who
1153	who 's won the most oscars for costume design ?	who
1154	who wrote the red badge of courage ?	who
1155	who invented the road traffic cone ?	who
1156	who won the battle of gettysburg ?	who
1157	who was the captain of the tanker , exxon valdez , involved in the oil spill in prince william sound , alaska , 1989 ?	who
1158	who is stephen hawking ?	who
1159	what actor came to dinner in guess who 's coming to dinner ?	who
1160	who was the first actress to appear on a postage stamp ?	who
1161	who was the first black woman to star in the folies bergeres ?	who
1162	who asked the musical question : `` have you ever been to electric lady land ?	who
1163	who wrote : `` poems are made by fools like me but only god can make a tree '' ?	who
1164	who played the part of the godfather in the movie , ` the godfather ' ?	who
1165	who invented the wonderbra ?	who
1166	who owns the st. louis rams ?	who
1167	who made the most appearances in the center square on hollywood squares ?	who
1168	who said `` the only thing we have to fear is fear itself '' ?	who
1169	who is the sexiest women in the world ?	who
1170	who was the supreme god of germanic religion ?	who
1171	who 's played the most games for the new york yankees ?	who
1172	who won the superbowl in ?	who
1173	who directed citizen kane ?	who
1174	whose special bear 's creator was born on january 18 , 1779 ?	unknown
1175	who said : `` what contemptible scoundrel stole the cork from my lunch ? ''	who
1176	who was the author of the famous fairy tale `` snow white and seven dwarfs '' ?	who
1177	who is behind the name of the harvey wallbanger drink ?	who
1178	who is the premier of china ?	who
1179	who was the president of vichy france ?	who
1180	whose kidnaping was termed the crime of the century ?	unknown
1181	who first broke the sound barrier ?	who
1182	who was scrooge 's dead partner in dickens 's a christmas carol ?	who
1183	who recorded the 1957 hit tammy ?	who
1184	who is mia farrow 's mother ?	who
1185	who was the only president to serve two nonconsecutive terms ?	who
1186	who reports the weather on the `` good morning america '' television show ?	who
1187	who sent the brief message `` i came , i saw , i conquered '' ?	who
1188	who are the nomadic hunting and gathering tribe of the kalahari desert in africa ?	who
1189	who won a pulitzer prize for his novel the caine mutiny ?	who
1190	who portrayed sherlock holmes in 14 films between 1939 and 1946 ?	who
1191	who claimed to be the world 's most perfectly-developed man ?	who
1192	who portrayed carl bernstein in all the president 's men ?	who
1193	who was tiny tim 's father ?	who
1194	who was bonnie blue butler 's father ?	who
1195	who is the antichrist ?	who
1196	who was the lawyer who represented randy steven craft ?	who
1197	who wrote the farmer 's almanac ?	who
1198	who was the 15th century fire-and-brimstone monk who gained control of florence but ended burnt at the stake ?	who
1199	who was quetzalcoatl ?	who
1200	who is the prime minister of japan ?	who
1201	who wrote the book , `` song of solomon '' ?	who
1202	who is the president of the spanish government ?	who
1203	who holds the career record for the most major league home runs ?	who
1204	who invented the stethoscope ?	who
1205	who retired with 755 home runs to his credit ?	who
1206	who developed potlatch ?	who
1207	who is the actress bette davis once said she wished she looked like ?	who
1208	when did iraqi troops invade kuwait ?	when
1209	when was the slinky invented ?	when
1210	when was dick clark born ?	when
1211	when did the `` star-spangled banner '' become the national anthem ?	when
1212	when did israel begin turning the gaza strip and jericho over to the plo ?	when
1213	when were the olympic games in which nadia comaneci became popular played ?	when
1214	when did fraze get his first patent for the pull-tab can ?	when
1215	when was the triangle shirtwaist fire ?	when
1216	when were fish first believed to be found on earth ?	when
1217	when is president nixon 's birthday ?	when
1218	when will the millennium officially begin ?	when
1219	when was cnn 's first broadcast ?	when
1220	when were camcorders introduced in malaysia ?	when
1221	when was queen victoria born ?	when
1222	when was yemen reunified ?	when
1223	when did aldous huxley write , `` brave new world '' ?	when
1224	when the tutankhamun exhibit was on display in the u.s. , what moving company transported it ?	when
1225	when did humans first begin to write history seriously ?	when
1226	when mighty mouse was conceived , what was his original name ?	when
1227	when was the first flush toilet invented ?	when
1228	when will jean aeul publish her next book ?	when
1229	when it 's time to relax , what one beer stands clear ?	when
1230	when was the de beers company founded ?	when
1231	when did princess diana and prince charles get married ?	when
1232	when was the first barbie produced ?	when
1233	when did the jurassic period end ?	when
1234	when was the bill of rights ratified ?	when
1235	when was calypso music invented ?	when
1236	when did hitler come to power in germany ?	when
1237	when did gothic art and architecture flourish ?	when
1238	when was the internal combustion engine developed ?	when
1239	when do you plant winter wheat ?	when
1240	when did nostradamus believe world war iii would begin ?	when
1241	when was london 's docklands light railway constructed ?	when
1242	when do mormons believe christ was born ?	when
1243	when did theo rousseau paint the `` forest of fontaine '' ?	when
1244	when is the thai new year ?	when
1245	when was the g7 group of nations formed ?	when
1246	when did they canonize the bible ?	when
1247	when did the carolingian period begin ?	when
1248	when superman needs to get away from it all , where does he go ?	when
1249	when did spain and korea start ambassadorial relations ?	when
1250	when did nixon die ?	when
1251	when is a woman most fertile ?	when
1252	when was the nfl established ?	when
1253	when was richard nixon born ?	when
1254	when is the sun closest to the earth ?	when
1255	when did amtrak begin operations ?	when
1256	when was john d. rockefeller born ?	when
1257	when was the congress of vienna ?	when
1258	when was franklin d. roosevelt stricken with polio ?	when
